code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
MET AR 725,Educational Programming in Cultural Institutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 730,Political and Public Advocacy for the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 735,Arts and the Community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 750,Financial Management for Nonprofits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 751,Commercial Production: The Broadway Model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 752,Strategies for Performing Arts Businesses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 753,Current Trends in the Performing Arts Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 754,Global Performing Arts Presenting and Producing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 755,Arts and Cultural Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 778,Legal Issues in Arts Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 795,Arts and Cultural Management Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 796,Advanced Management and Consulting for Arts and Cultural Organizations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 800,Directed Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AR 810,Master's Thesis 1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
MET AR 811,Master's Thesis 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AS 101,The Solar System,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MET AS 102,The Astronomical Universe,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MET AT 505,Actuarial and Financial Data Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 511,Economics and Management Decisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 521,Financial Mathematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 531,Fundamentals of Actuarial Mathematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 541,Introduction to Individual Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 542,Introduction to Group Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 543,Introduction to Property and Casualty Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 544,Introduction to Pension Mathematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 545,Introduction to Risk Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 722,Finance for Actuaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 743,Regression and Time Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 761,Mathematics for Investment and Portfolio Theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 762,Mathematical Finance for Actuarial Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 771,Advanced Long-Term Actuarial Mathematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 781,Advanced Short-Term Actuarial Mathematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 799,Capstone in Actuarial Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 981,Internship in Actuarial Science 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 982,Internship in Actuarial Science 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 990,Seminar in Actuarial Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 991,Directed Studies 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET AT 992,Directed Studies 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET BB 421,Biochemistry 1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
MET BB 422,Biochemistry 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
MET BI 105,Introductory Biology for Health Sciences,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
MET BI 107,"Biology 1: Evolution, Ecology, and Behavior",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
MET BI 108,"Biology II: Cells, Genetics, Development, and Physiology",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
MET BI 110,"Introduction to Neuroscience, Drugs, and Mental Disorders",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MET BI 203,Cell Biology (CM),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MET BI 206,Genetics (CM),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
MET BI 210,Human Anatomy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MET BI 211,Human Physiology,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
MET BI 303,Ecology (EBE),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
MET BI 315,Systems Physiology (PER/NEURO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
